Best Fitness: 10.071838673473971
Target Latitude: 37.621248, Target Longitude: -122.375000, Target Altitude: 300m
Step	Latitude	Longitude	Altitude
1	37.619082	-122.375000	304.7701415167025
2	37.619164	-122.375001	304.45789045973254
3	37.619325	-122.375001	302.4699369874339
4	37.619484	-122.374999	298.9604845415467
5	37.619640	-122.374995	294.24828729505344
6	37.619793	-122.374990	288.43736607350206
7	37.619942	-122.374986	281.5365746326306
8	37.620089	-122.374984	273.51491482485517
9	37.620233	-122.374984	264.29371151789366
10	37.620376	-122.374984	253.78893992079185
11	37.620517	-122.374985	242.005118686929
12	37.620657	-122.374987	228.93557430415453
13	37.620794	-122.374990	214.46721500116692
14	37.620926	-122.374994	198.5350095595227
15	37.621051	-122.374993	181.22958034139336
16	37.621170	-122.374987	162.69274603815765
17	37.621284	-122.374976	142.94869049317293
