Pitch (deg): 6.195595538211335e-16, Roll (deg): 3.1805546814635168e-15, Yaw (deg): 6.2831854820251465
Pitch (deg): 4.4301857735094465, Roll (deg): 6.928802587475749, Yaw (deg): 6.2748703956604
Pitch (deg): 13.703989097876033, Roll (deg): 19.340766634969135, Yaw (deg): 6.26577615737915
Pitch (deg): 22.06749597240141, Roll (deg): 27.588882586109026, Yaw (deg): 6.250522613525391
Pitch (deg): 27.92792634631929, Roll (deg): 32.760643769034736, Yaw (deg): 6.229697227478027
Pitch (deg): 32.372989552501494, Roll (deg): 37.36630179807686, Yaw (deg): 6.23195219039917
Pitch (deg): 37.10470896795996, Roll (deg): 41.73747260272328, Yaw (deg): 6.270843029022217
Pitch (deg): 43.09925522887291, Roll (deg): 45.445008567232925, Yaw (deg): 0.06126503273844719
Pitch (deg): 50.590166163341436, Roll (deg): 48.162139781334034, Yaw (deg): 0.16611623764038086
Pitch (deg): 59.49432178426105, Roll (deg): 49.712927402196264, Yaw (deg): 0.2981432378292084
Pitch (deg): 69.44495117848582, Roll (deg): 49.956806136700735, Yaw (deg): 0.45014244318008423
Pitch (deg): 79.80401222469902, Roll (deg): 48.78194529756684, Yaw (deg): 0.6107714176177979
Pitch (deg): 89.85023011635813, Roll (deg): 46.16387231699843, Yaw (deg): 0.7674347162246704
Pitch (deg): 99.03953247474743, Roll (deg): 42.18265750263554, Yaw (deg): 0.9107444286346436
Pitch (deg): 107.11306196051262, Roll (deg): 36.982732034667286, Yaw (deg): 1.0363165140151978
Pitch (deg): 114.05303959124416, Roll (deg): 30.719503207278954, Yaw (deg): 1.1441558599472046
Pitch (deg): 119.97519609223873, Roll (deg): 23.51790884076842, Yaw (deg): 1.2368477582931519
Pitch (deg): 125.02256928509476, Roll (deg): 15.475700894989613, Yaw (deg): 1.3173853158950806
Pitch (deg): 129.32332083939835, Roll (deg): 6.686544315351859, Yaw (deg): 1.3882685899734497
Pitch (deg): 132.98841400840553, Roll (deg): -2.75114747715848, Yaw (deg): 1.4515684843063354
Pitch (deg): 136.11724170491834, Roll (deg): -12.725576452102754, Yaw (deg): 1.5089240074157715
Pitch (deg): 138.80768053974305, Roll (deg): -23.10403523555879, Yaw (deg): 1.5614992380142212
Pitch (deg): 141.1828924839933, Roll (deg): -33.72056880027208, Yaw (deg): 1.609694004058838
Pitch (deg): 143.44532434466834, Roll (deg): -44.37170581086795, Yaw (deg): 1.652793049812317
Pitch (deg): 146.05867766452027, Roll (deg): -54.81648573116481, Yaw (deg): 1.6911259889602661
Pitch (deg): 149.44619194565814, Roll (deg): -64.80664484521104, Yaw (deg): 1.725610613822937
Pitch (deg): 153.78016554008465, Roll (deg): -74.13175868505688, Yaw (deg): 1.7568436861038208
Pitch (deg): 158.76220114334035, Roll (deg): -82.66514431707151, Yaw (deg): 1.79019296169281
Pitch (deg): 8.88296666656694, Roll (deg): -89.53819975431526, Yaw (deg): 4.537266731262207
Pitch (deg): -4.462222775811391, Roll (deg): -82.40647822301396, Yaw (deg): 4.907754421234131
Pitch (deg): 2.3941746838203453, Roll (deg): -75.56666531646066, Yaw (deg): 4.926696300506592
Pitch (deg): 9.144535591021748, Roll (deg): -68.8006184529435, Yaw (deg): 4.943701267242432
Pitch (deg): 15.055150779866295, Roll (deg): -61.99688943577538, Yaw (deg): 4.968411922454834
Pitch (deg): 19.879371447254247, Roll (deg): -55.2027397589182, Yaw (deg): 5.004255294799805
Pitch (deg): 23.643140359200604, Roll (deg): -48.562142979886666, Yaw (deg): 5.052312850952148
Pitch (deg): 26.54633787912391, Roll (deg): -42.22687273222762, Yaw (deg): 5.112783432006836
Pitch (deg): 28.889763830524238, Roll (deg): -36.29597017400084, Yaw (deg): 5.185642719268799
Pitch (deg): 31.01858694575006, Roll (deg): -30.80471323226945, Yaw (deg): 5.270669937133789
Pitch (deg): 33.27019295659061, Roll (deg): -25.75194077487453, Yaw (deg): 5.3672356605529785
Pitch (deg): 35.92526507189299, Roll (deg): -21.138528773577146, Yaw (deg): 5.474180221557617
Pitch (deg): 39.16893898420497, Roll (deg): -16.98917519241606, Yaw (deg): 5.589953422546387
Pitch (deg): 43.072887283582084, Roll (deg): -13.350551567763615, Yaw (deg): 5.712916851043701
Pitch (deg): 47.60304781663347, Roll (deg): -10.27822319606516, Yaw (deg): 5.841646671295166
Pitch (deg): 52.646626839405556, Roll (deg): -7.8258156000417545, Yaw (deg): 5.97511100769043
Pitch (deg): 58.04672466137937, Roll (deg): -6.043090122891529, Yaw (deg): 6.112671375274658
Pitch (deg): 63.633150043911144, Roll (deg): -4.978956041713651, Yaw (deg): 6.253915309906006
Pitch (deg): 69.24283222056681, Roll (deg): -4.681072282102354, Yaw (deg): 0.11525829136371613
Pitch (deg): 74.7300354450258, Roll (deg): -5.189108582757073, Yaw (deg): 0.2625533640384674
Pitch (deg): 79.97061419893397, Roll (deg): -6.524626997113891, Yaw (deg): 0.4119744598865509
Pitch (deg): 84.86231372022706, Roll (deg): -8.68129252471762, Yaw (deg): 0.5629215240478516
Pitch (deg): 6.195595538211335e-16, Roll (deg): 3.1805546814635168e-15, Yaw (deg): 6.2831854820251465
Pitch (deg): 4.4301857735094465, Roll (deg): 6.928802587475749, Yaw (deg): 6.2748703956604
Pitch (deg): 13.703989097876033, Roll (deg): 19.340766634969135, Yaw (deg): 6.26577615737915
Pitch (deg): 22.06749597240141, Roll (deg): 27.588882586109026, Yaw (deg): 6.250522613525391
Pitch (deg): 27.92792634631929, Roll (deg): 32.760643769034736, Yaw (deg): 6.229697227478027
Pitch (deg): 32.372989552501494, Roll (deg): 37.36630179807686, Yaw (deg): 6.23195219039917
Pitch (deg): 37.10470896795996, Roll (deg): 41.73747260272328, Yaw (deg): 6.270843029022217
Pitch (deg): 43.09925522887291, Roll (deg): 45.445008567232925, Yaw (deg): 0.06126503273844719
Pitch (deg): 50.590166163341436, Roll (deg): 48.162139781334034, Yaw (deg): 0.16611623764038086
Pitch (deg): 59.49432178426105, Roll (deg): 49.712927402196264, Yaw (deg): 0.2981432378292084
Pitch (deg): 69.44495117848582, Roll (deg): 49.956806136700735, Yaw (deg): 0.45014244318008423
Pitch (deg): 79.80401222469902, Roll (deg): 48.78194529756684, Yaw (deg): 0.6107714176177979
Pitch (deg): 89.85023011635813, Roll (deg): 46.16387231699843, Yaw (deg): 0.7674347162246704
Pitch (deg): 99.03953247474743, Roll (deg): 42.18265750263554, Yaw (deg): 0.9107444286346436
Pitch (deg): 107.11306196051262, Roll (deg): 36.982732034667286, Yaw (deg): 1.0363165140151978
Pitch (deg): 114.05303959124416, Roll (deg): 30.719503207278954, Yaw (deg): 1.1441558599472046
Pitch (deg): 119.97519609223873, Roll (deg): 23.51790884076842, Yaw (deg): 1.2368477582931519
Pitch (deg): 125.02256928509476, Roll (deg): 15.475700894989613, Yaw (deg): 1.3173853158950806
Pitch (deg): 129.32332083939835, Roll (deg): 6.686544315351859, Yaw (deg): 1.3882685899734497
Pitch (deg): 132.98841400840553, Roll (deg): -2.75114747715848, Yaw (deg): 1.4515684843063354
Pitch (deg): 136.11724170491834, Roll (deg): -12.725576452102754, Yaw (deg): 1.5089240074157715
Pitch (deg): 138.80768053974305, Roll (deg): -23.10403523555879, Yaw (deg): 1.5614992380142212
Pitch (deg): 141.1828924839933, Roll (deg): -33.72056880027208, Yaw (deg): 1.609694004058838
Pitch (deg): 143.44532434466834, Roll (deg): -44.37170581086795, Yaw (deg): 1.652793049812317
Pitch (deg): 146.05867766452027, Roll (deg): -54.81648573116481, Yaw (deg): 1.6911259889602661
Pitch (deg): 149.44619194565814, Roll (deg): -64.80664484521104, Yaw (deg): 1.725610613822937
Pitch (deg): 153.78016554008465, Roll (deg): -74.13175868505688, Yaw (deg): 1.7568436861038208
Pitch (deg): 158.76220114334035, Roll (deg): -82.66514431707151, Yaw (deg): 1.79019296169281
Pitch (deg): 8.88296666656694, Roll (deg): -89.53819975431526, Yaw (deg): 4.537266731262207
Pitch (deg): -4.462222775811391, Roll (deg): -82.40647822301396, Yaw (deg): 4.907754421234131
Pitch (deg): 2.3941746838203453, Roll (deg): -75.56666531646066, Yaw (deg): 4.926696300506592
Pitch (deg): 9.144535591021748, Roll (deg): -68.8006184529435, Yaw (deg): 4.943701267242432
Pitch (deg): 15.055150779866295, Roll (deg): -61.99688943577538, Yaw (deg): 4.968411922454834
Pitch (deg): 19.879371447254247, Roll (deg): -55.2027397589182, Yaw (deg): 5.004255294799805
Pitch (deg): 23.643140359200604, Roll (deg): -48.562142979886666, Yaw (deg): 5.052312850952148
Pitch (deg): 26.54633787912391, Roll (deg): -42.22687273222762, Yaw (deg): 5.112783432006836
