Roll (deg),Pitch (deg),Yaw (deg),Altitude Deviation (m),Yaw Angle to Target (deg),Pitch Angle to Target (deg),Velocity X-Axis,Altitude_change,Pitch Rate [deg/s],Yaw Rate [deg/s],Roll Rate [deg/s]
0.0,1.3660378e-05,0.0,4.798401,33.1755,-0.061102867,149.9585,-0.2090149,-0.5028658,1.483681,-0.0015572831
-0.008387472,0.024738943,-2.7320755e-05,4.796356,33.18084,-0.06108921,149.87085,-0.0687561,-9.762744,-3.9237795,0.82063353
-0.17109624,-0.040625963,0.013756,4.797104,33.172356,-0.061102867,149.7981,-0.06694031,-17.676119,-8.897933,1.6703637
-0.46575058,-0.1887591,0.042415474,4.7964783,33.149036,-0.061102867,149.7251,-0.08630371,-24.71471,-13.4076605,2.540885
-0.8778978,-0.4117033,0.087371774,4.795944,33.10941,-0.0611097,149.65063,-0.13623047,-30.98507,-17.45769,3.4283724
-1.3949294,-0.70146036,0.15026416,4.795059,33.05183,-0.061102867,149.57349,-0.22261047,-36.560715,-21.062117,4.3292193
-2.005521,-1.0501894,0.23284113,4.79364,32.97461,-0.06109604,149.49219,-0.35029602,-41.508286,-24.238373,5.239957
-2.6995912,-1.4502199,0.33668733,4.791443,32.87609,-0.06107555,149.40527,-0.5231476,-45.88816,-27.00643,6.157224
-3.468083,-1.8941343,0.46341464,4.788254,32.75469,-0.061041396,149.31128,-0.7441406,-49.75514,-29.386122,7.0778513
-4.302937,-2.3747678,0.61440283,4.7838135,32.609055,-0.060993586,149.20923,-1.0153656,-53.15895,-31.40018,7.998807
-5.1969953,-2.8852358,0.7907856,4.7778625,32.438015,-0.060925283,149.09839,-1.3382263,-56.14478,-33.072838,8.917194
-6.143864,-3.4190423,0.99345094,4.7701263,32.240704,-0.06083649,148.97803,-1.7133789,-58.75364,-34.426147,9.8305
-7.1378613,-3.9699857,1.2229999,4.7603607,32.016495,-0.060720377,148.84839,-2.1408844,-61.022682,-35.485508,10.7359915
