Best Fitness: 42.165400840269356
Target Latitude: 37.616702, Target Longitude: -122.376785, Target Altitude: 300m
Step	Latitude	Longitude	Altitude	Heading
1	37.619083	-122.375000	304.7140808105469	0.7703616151992527
2	37.619164	-122.375000	304.9501953125	4.205910535696554
3	37.619240	-122.375000	305.8677673339844	9.05296495236668
4	37.619316	-122.374992	307.3369445800781	13.602417354728773
5	37.619389	-122.374985	309.2141418457031	18.7559760835164
6	37.619457	-122.374962	311.3185729980469	25.46504380143002
7	37.619522	-122.374939	313.4765625	32.86847538055631
8	37.619583	-122.374908	315.5300598144531	39.77904904691094
9	37.619637	-122.374870	317.324951171875	45.69785534011763
10	37.619690	-122.374832	318.7222595214844	50.624750826203794
11	37.619736	-122.374779	319.6056213378906	54.65990364444227
12	37.619778	-122.374725	319.8809814453125	57.848683326394855
13	37.619820	-122.374672	319.47332763671875	60.16683587031884
14	37.619854	-122.374619	318.3251953125	61.518953778792905
15	37.619888	-122.374557	316.39556884765625	61.68908696082875
16	37.619915	-122.374496	313.65966796875	60.26273855645499
17	37.619942	-122.374443	310.1103210449219	56.564167215230995
18	37.619961	-122.374390	305.7599182128906	49.682451098119664
19	37.619980	-122.374344	300.6120300292969	41.7306355833641
20	37.619999	-122.374306	294.75750732421875	38.623599605398226
21	37.620014	-122.374268	288.3802490234375	32.09751777799112
22	37.620033	-122.374237	281.5294494628906	16.222831382635214
23	37.620052	-122.374214	274.2451477050781	1.2892681085571935
24	37.620075	-122.374199	266.67236328125	-7.19107246009413
25	37.620098	-122.374199	258.973388671875	-12.495175388378007
26	37.620129	-122.374199	251.29013061523438	-16.67735144359559
27	37.620163	-122.374214	243.74671936035156	-19.048839227200915
28	37.620205	-122.374229	236.47230529785156	-19.053555472822808
29	37.620251	-122.374252	229.58807373046875	-16.919363828909358
30	37.620304	-122.374268	223.1894989013672	-13.036613875395027
31	37.620365	-122.374290	217.3362274169922	-7.739668985361322
32	37.620430	-122.374306	212.04869079589844	-1.3381989434409303
33	37.620499	-122.374321	207.3043670654297	5.867107310718389
34	37.620567	-122.374321	203.0366668701172	13.60231575566487
35	37.620644	-122.374313	199.13937377929688	21.648072838491142
36	37.620712	-122.374298	195.47523498535156	29.83375744552253
37	37.620785	-122.374268	191.88763427734375	38.039304242660315
38	37.620850	-122.374229	188.21336364746094	46.19716948920224
39	37.620907	-122.374176	184.2943115234375	54.28143944743728
40	37.620960	-122.374115	179.98684692382812	62.29995175943802
41	37.621002	-122.374054	175.16883850097656	70.29869750398073
42	37.621033	-122.373985	169.74478149414062	78.38178242439477
43	37.621059	-122.373917	163.65005493164062	86.76170736613757
44	37.621071	-122.373856	156.854248046875	95.89935300383407
45	37.621078	-122.373802	149.3635711669922	106.9830356492831
46	37.621078	-122.373749	141.22177124023438	124.17734703568402
47	37.621071	-122.373718	132.50868225097656	169.63668192470104
48	37.621059	-122.373695	123.33594512939453	-112.75123968638557
49	37.621048	-122.373688	113.83992004394531	-84.80849182956736
50	37.621040	-122.373688	104.17212677001953	-70.98584868542987
Target Latitude: 37.621374, Target Longitude: -122.376619, Target Altitude: 300m
Step	Latitude	Longitude	Altitude	Heading
1	37.619083	-122.375000	304.7140808105469	0.7703616151992527
2	37.619164	-122.375000	304.9501953125	4.205910535696554
3	37.619240	-122.375000	305.8677673339844	9.05296495236668
4	37.619316	-122.374992	307.3369445800781	13.602417354728773
5	37.619389	-122.374985	309.2141418457031	18.7559760835164
6	37.619457	-122.374962	311.3185729980469	25.46504380143002
7	37.619522	-122.374939	313.4765625	32.86847538055631
8	37.619583	-122.374908	315.5300598144531	39.77904904691094
9	37.619637	-122.374870	317.324951171875	45.69785875521221
10	37.619690	-122.374832	318.7222595214844	50.6247713167713
11	37.619736	-122.374779	319.60565185546875	54.659985606712304
12	37.619778	-122.374725	319.8810119628906	57.84897702452916
13	37.619820	-122.374672	319.4734191894531	60.16778526661347
14	37.619854	-122.374619	318.325439453125	61.52178147710929
15	37.619888	-122.374557	316.39605712890625	61.69679141421253
16	37.619915	-122.374496	313.66058349609375	60.28245731258882
17	37.619942	-122.374443	310.1120300292969	56.613132841390815
18	37.619961	-122.374390	305.7630310058594	49.8040045596838
19	37.619980	-122.374344	300.6482849121094	39.2458503293539
20	37.619999	-122.374306	294.8287048339844	25.722584621821817
21	37.620014	-122.374275	288.390869140625	11.261827639381295
22	37.620029	-122.374252	281.43951416015625	-1.7787779479750756
23	37.620049	-122.374237	274.0968017578125	-11.744663103319605
24	37.620068	-122.374229	266.4984130859375	-18.78002347203672
25	37.620087	-122.374237	258.7841491699219	-23.402203728681112
26	37.620113	-122.374245	251.09136962890625	-25.863797075364538
27	37.620144	-122.374268	243.55047607421875	-26.308146984650765
28	37.620182	-122.374290	236.2797088623047	-24.919791507535198
29	37.620224	-122.374321	229.37872314453125	-21.918923990028
30	37.620274	-122.374344	222.92242431640625	-17.52464836296672
31	37.620327	-122.374374	216.9560089111328	-11.942564419426139
32	37.620388	-122.374397	211.49009704589844	-5.379428815771717
33	37.620453	-122.374420	206.4968719482422	1.9421440133690273
34	37.620522	-122.374428	201.9097137451172	9.786342854118459
35	37.620594	-122.374428	197.6252899169922	17.891465379889546
36	37.620667	-122.374413	193.5076141357422	25.97428733802054
37	37.620735	-122.374390	189.39857482910156	33.88016983060777
38	37.620800	-122.374359	185.14276123046875	41.81248174018836
39	37.620857	-122.374313	180.61434936523438	50.19679849356748
40	37.620911	-122.374260	175.7261199951172	59.23848338851988
41	37.620956	-122.374199	170.4254608154297	68.78275067807475
42	37.620991	-122.374138	164.68667602539062	78.54714813438996
43	37.621017	-122.374069	158.50299072265625	88.4070862768153
44	37.621033	-122.374001	151.8799285888672	98.49901179440013
45	37.621044	-122.373940	144.8306121826172	109.15642233374867
46	37.621040	-122.373878	137.37400817871094	120.76335894132319
47	37.621033	-122.373825	129.5360870361328	133.60459269418905
48	37.621014	-122.373779	121.35295867919922	147.7310904639329
49	37.620987	-122.373741	112.87289428710938	162.8815428732884
50	37.620960	-122.373718	104.15501403808594	178.4965984103665
Target Latitude: 37.618924, Target Longitude: -122.371595, Target Altitude: 300m
Step	Latitude	Longitude	Altitude	Heading
1	37.619083	-122.375000	304.7140808105469	0.7703531308236431
2	37.619164	-122.375000	304.9501953125	4.205825158331929
3	37.619240	-122.375000	305.8677673339844	9.052789074995554
4	37.619316	-122.374992	307.3369445800781	13.602171467918653
5	37.619389	-122.374985	309.21417236328125	18.755597008017464
6	37.619457	-122.374962	311.3186950683594	25.46436761270219
7	37.619522	-122.374939	313.4769592285156	32.867502078599586
8	37.619583	-122.374908	315.5316162109375	39.7801521224619
9	37.619637	-122.374870	317.3310852050781	45.7196812096104
10	37.619690	-122.374832	318.7472839355469	50.763499289003434
11	37.619736	-122.374779	319.6961975097656	55.25707049867107
12	37.619778	-122.374725	320.1488037109375	59.74813844400789
13	37.619816	-122.374672	320.12213134765625	64.76997355955723
14	37.619850	-122.374611	319.6563415527344	70.59096812875475
15	37.619881	-122.374550	318.7983093261719	77.10787701210653
16	37.619907	-122.374489	317.59478759765625	83.93526580455958
17	37.619926	-122.374420	316.0908203125	90.62122186986916
18	37.619942	-122.374359	314.3295593261719	96.830676617922
19	37.619953	-122.374290	312.3526611328125	102.40047732001395
20	37.619961	-122.374222	310.2005310058594	107.28309951990009
21	37.619961	-122.374161	307.91229248046875	111.5210269942179
22	37.619961	-122.374092	305.5260009765625	115.22966261918391
23	37.619953	-122.374023	303.07958984375	118.54316497047552
24	37.619946	-122.373955	300.61163330078125	121.57048239554359
25	37.619930	-122.373894	298.1612548828125	124.38565414499107
26	37.619911	-122.373825	295.76629638671875	127.05218731772072
27	37.619892	-122.373764	293.4631652832031	129.6185216153263
28	37.619869	-122.373703	291.2884826660156	131.99604216351605
29	37.619843	-122.373634	289.2738952636719	133.9942276655816
30	37.619816	-122.373573	287.4432678222656	135.44998686452143
31	37.619789	-122.373512	285.8147277832031	136.30717560535805
32	37.619759	-122.373451	284.39935302734375	136.59993117356314
33	37.619732	-122.373390	283.194091796875	136.3952167437595
34	37.619701	-122.373329	282.1875305175781	135.77869654851747
35	37.619675	-122.373268	281.36407470703125	134.83985972634255
36	37.619644	-122.373207	280.7060546875	133.6341537529169
37	37.619617	-122.373146	280.1956787109375	132.18717817724968
38	37.619591	-122.373093	279.8185119628906	130.5300103600645
39	37.619564	-122.373032	279.5580139160156	128.7141362673249
40	37.619541	-122.372971	279.3953552246094	126.8026941677185
41	37.619514	-122.372917	279.3114013671875	124.84723832910053
42	37.619495	-122.372856	279.2867736816406	122.87567690441968
43	37.619473	-122.372795	279.30194091796875	120.8959192527348
44	37.619453	-122.372742	279.3374938964844	118.9050283927028
45	37.619434	-122.372688	279.3744812011719	116.89669322953058
46	37.619419	-122.372627	279.39483642578125	114.86736206484976
47	37.619404	-122.372574	279.3818054199219	112.81956206865321
48	37.619392	-122.372520	279.320068359375	110.75835441111595
49	37.619381	-122.372459	279.1957092285156	108.68442211115493
50	37.619373	-122.372406	278.99603271484375	106.58858539452568
